% Model:              cpw-sheet-shift-5bma.mph
% Version:            COMSOL 6.3.0.290
% Date:               Sep 24 2026, 10:59
% Dimension:          3
% Nodes:              610
% Expressions:        1
% Description:        Electric field norm
% Length unit:        µm
% x                       y                        z                        emw.normE (V/m) @ freq=7.5
822.9785864679368         10.838002301298705       0.9999999999999999       1045634.3831321485
865.3659038144866         10.838002301298705       0.9999999999999999       890773.4280236054
865.3659038144863         5.163226597170387        0.9999999999999999       1321366.597380802
822.9785864679368         -4.2947329097101425      0.9999999999999999       697438.8757662915
865.3659038144866         -4.2947329097101425      0.9999999999999999       681513.0441503789
822.9785864679365         5.163226597170387        0.9999999999999999       1228622.330924524
822.7238278677391         12.174244880599955       1                        224906.186361228
865.7903583380954         12.174244880599955       1                        230849.75959530528
843.0746118471333         77.04525136176636        1                        9550.000197651836
898.6556212023457         45.82112213045284        1                        27792.620528602416
866.9858722096768         11.814517682544828       1.0000000000000002       323132.62209941796
900                       11.814517682544881       1.0000000000000002       331521.0129668586
900                       45.61380022168665        1.0000000000000002       31664.90502977058
900                       -4.384422343867158       1                        918288.1126174396
867.5586257462766         5.101149928862067        1                        1211240.5764286765
867.5586257462768         -4.384422343867105       1                        738299.7155070312
867.5586257462768         10.79249329249957        1                        1116956.3603700723
900                       10.792493292499623       1                        1065357.342484401
900                       5.101149928862119        1                        1577681.1461465629
868.0542947950911         -5.573097509191448       1                        1413151.0528181784
900.0000000000001         -5.5730975091915         1                        1496898.47414763
900.0000000000001         -11.17748331272486       1                        1091339.0549683187
868.0542947950908         -11.177483312724807      1                        898791.3419765505
770.2459340035067         11.586262193117056       1                        843449.7177028054
819.6385663622174         11.586262193117056       1                        940544.3965947989
819.638566362217          5.852107164308947        1                        1386473.8246381436
770.2459340035102         5.852107164308947        1                        1293629.2584150024
805.0619568525789         43.84426058882513        1                        34385.38655342451
768.8212750358094         5.508148542729292        1                        1132573.0020578797
768.8212750358059         11.202241069665543       1                        1027125.9331193981
843.3580159138049         78.41414710478891        1                        5642.753808507559
900.0000000000001         46.593986738098835       1                        21747.369725855646
900.0000000000001         110.23430747147916       1                        925.3650928305884
719.3355670838707         11.202241069665543       1                        676827.3126201249
842.0912278585745         79.14845873839833        1                        8033.4189538291685
898.7890720073749         111.00000000000017       1                        628.0762985461015
718.027966737857          12.146260975005077       1                        186248.82567676785
768.6611182548805         12.146260975005077       1                        225605.80353808976
785.3933837097742         111.00000000000017       1                        6297.037979202195
806.3801877383265         46.061202336315105       1                        24617.99883161886
784.6011400820032         107.15551267325237       1                        19500.760326192765
783.2465635596346         109.24832053947122       1                        9034.260692616896
900                       111.00000000000017       0.9999999999999999       977.986346903144
666.4354480159473         11.136696099838575       1                        865419.5820016251
716.533430000625          11.136696099838575       1                        749206.0351848968
716.5334300006291         5.372176624363293        1                        1271479.240668475
666.4354480159512         5.372176624363293        1                        1277690.6539420397
666.4354480159473         -4.235355834762178       1                        640651.500215164
716.533430000625          -4.235355834762178       1                        663296.9995169173
767.8426925694893         5.311340501413994        1                        1076004.5747367307
717.9326882603765         11.054254856239169       1                        887783.1363820374
