% Model:              qubit-exact-solved.mph
% Version:            COMSOL 6.3.0.290
% Date:               Sep 24 2026, 10:46
% Dimension:          3
% Nodes:              258
% Expressions:        2
% Description:        Electric potential, Electric field norm
% Length unit:        µm
% x                       y                        z                        V (V)                    es.normE (V/m)
-557.5                    -498.5861890124845       0.9999999999999999       7.801967826018687E-4     735.4491850267872
-458.499988712976         -399.5861777254605       0.9999999999999999       7.801967826018687E-4     1211.2195178969541
-557.5                    -300.58616643843646      0.9999999999999999       7.801967826018687E-4     1082.3921050454592
-458.499988712976         -201.5861551514125       0.9999999999999999       7.801967826018687E-4     1703.5400735297796
-458.49996373512096       -199.93092819969684      1                        0.001209738696460747     2098.382698653498
-557.5                    -298.93096446457577      1                        0.001209738696460747     1097.7208883686244
-557.5                    -100.93089193481798      1                        0.001209738696460747     1867.3339757086371
-457.39761926810445       -200.75673879531215      1                        7.016605026666044E-4     2703.065544760915
-457.39761926810445       -399.75673879531223      1                        7.016605026666044E-4     1484.0632208003633
-275.31261926810464       -399.75673879531223      1                        7.016605026666044E-4     3127.557926169559
-276.00182243179347       -401.00174044113567      1                        7.631142225475314E-4     1913.1067187998367
-457.16863742451494       -401.00174044113567      1                        7.631142225475314E-4     1196.0300743244852
-372.1951313031565        -500                     1                        7.631142225475314E-4     968.6742801190932
-556.1668969833793        -500                     1                        7.631142225475314E-4     738.3094459303217
-557.5                    -500                     1                        4.2719182857689486E-4    843.8934473572206
-557.5                    -98.99997585694241       0.9999999999999999       0.0015371277073270918    1890.9196661653452
-458.49998792718935       3.621586819561944E-5     0.9999999999999999       0.0015371277073270918    3215.270994601653
-557.5                    99.0000482886789         0.9999999999999999       0.0015371277073270918    1999.5670673651302
-186.38110302308988       -500                     0.9999999999999999       0.001064271860012278     1313.4975576154322
-274.14138290755466       -401.02224073180685      0.9999999999999999       0.001064271860012278     1867.1506836201704
-370.3147723298155        -500                     0.9999999999999999       0.001064271860012278     1020.5515207985538
-93.01208344676118        -401.02224073180685      0.9999999999999999       0.001064271860012278     2251.7761903351757
-258.3139284642273        -199.9404520772008       1                        0.9963748308548407       8059.508260798895
-357.8139284642273        -100.44045207720345      1                        0.4279149181362766       3896.2949434586712
-457.3139284642273        -199.9404520772007       1                        0.0013748308548407462    3137.864804813258
-556.3139284642273        -99.94045207720083       0.9999999999999999       0.002366916870819698     1752.0324322558845
-457.31392846422733       -198.9404520772007       0.9999999999999999       0.002366916870819698     3620.7282263500724
-358.31392846422733       -99.94045207720342       0.9999999999999999       0.42676358662822816      3743.986780421311
-457.31392846422733       -0.9404520772008378      0.9999999999999999       0.002366916870819698     4721.159503931566
-274.4525145059728        -399.5732660932435       1                        0.0013001091829966673    2997.10608302342
-257.5375145059726        -200.57326609324352      1                        0.9963001091829967       8351.297761518012
-130.63540160059057       -200.57326609324352      1                        0.9963001091829968       7215.128542398731
-456.5375145059726        -200.5732660932434       1                        0.0013001091829966673    3170.9859230118936
-92.36751450597275        -399.5732660932435       1                        0.0013001091829966673    3143.7999336859375
-256.2737550319399        -199.48493783308825      1                        0.9963324241403093       6123.178000190993
-130.13393417496624       -199.48493783308825      1                        0.9963324241403093       5807.041702192393
-149.4232322825226        -109.85939647071567      1                        0.9963324241403093       4163.701039420068
-87.57118165302802        -123.29824554283306      1                        0.9963324241403093       5066.190584314588
-556.8280373983915        99.57865723351742        1                        0.001498769450087725     1980.3046131091078
-457.32803739839153       0.07865723351732423      1                        0.0014987694500877247    4514.946802583454
-557.5                    100.93110931289685       0.9999999999999999       0.0012612943060185092    1955.140962132609
-456.32803739839153       0.07865723351729781      1                        0.00458985596235484      5310.013725478209
-357.32803739839153       -98.92134276648528       1                        0.42898652571976326      3525.6350782393574
-357.82803739839153       99.57865723351458        1                        0.4284794256305719       3500.5391633440736
-357.32803739839153       99.07865723351458        1                        0.4294248807047461       4020.224015556584
-458.4999638297643        199.93114548313227       0.9999999999999999       0.0012612943060185092    2601.051747004679
-557.5                    298.93118165336807       0.9999999999999999       0.0012612943060185092    1233.4446982084003
-457.32803739839153       199.0786572335172        1                        0.001498769450087725     3542.485313697284
-557.5                    300.5862327851415        0.9999999999999999       8.02412929729839E-4      1230.0012808601653
-458.4999892808647        399.58624350427664       0.9999999999999999       8.024129297298391E-4     1182.4669532656176
-557.5                    498.58625422341186       0.9999999999999999       8.02412929729839E-4      703.8793285895744
-91.07418275859693        -401.03019531997927      1                        9.672485980478318E-4     1898.9208593900998
-184.43569850674962       -500.00000000000006      1                        9.672485980478318E-4     1400.7881432667741
-0.5168114763779218       -500.00000000000006      1                        9.672485980478318E-4     1037.5387836978173
-258.32803739839153       0.07865723351200847      1                        0.9945898559623548       7339.893797476079
92.11371285042706         -400.9992001566909       1                        4.5167218105492937E-4    955.8534922344936
90.040559805841           -401.03019531997927      1                        9.672485980478318E-4     1254.7411427022782
1.5279809937993376        -500                     1                        4.5167218105492937E-4    1036.6246144095514
185.504467369282          -500                     1                        4.516721810549293E-4     452.9735843187777
-127.87193413086447       -199.07478277818862      1                        0.9910481336128383       5760.988870350267
-85.54013119033151        -123.30148679457538      1                        0.9910481336128383       5378.484950968217
-7.413165508246926        -199.07478277818862      1                        0.9910481336128383       45347.70932276775
-7.413165508246926        -69.43325700479795       1                        0.9910481336128383       42244.782974901624
7.34168305384996          -72.52649312416413       1                        0.007391562806379139     47256.353178711324
7.34168305384996          -199.07478277818862      1                        0.007391562806379139     33212.41233735947
-7.144873044846981        -67.87326255713545       1                        0.9842042921862866       53392.40463457096
7.463018130918171         -70.93569023455146       1                        0.010344880468609699     39098.203669789415
7.463018130918171         -2.2846999187324313      1                        0.010344880468609699     54156.26927126071
-129.58663099866226       -200.58516953974532      1                        0.9962540554183544       7143.42264666881
-91.31874390404444        -399.58516953974527      1                        0.001254055418354291     2917.70070846705
90.76625609595563         -399.58516953974527      1                        0.001254055418354291     9833.486612169407
-7.738743904044357        -200.58516953974532      1                        0.9962540554183544       36952.98283158161
7.186256095955642         -200.58516953974532      1                        0.001254055418354291     41698.508181014586
-7.144873044846981        -0.6186687712621546      1                        0.9842042921862866       48899.27738865374
-98.49898049369807        -27.238274791594684      0.9999999999999999       0.9948590719894913       4354.832219068469
-53.414811415248536       30.027007253489625       0.9999999999999999       0.9948590719894912       7554.361202843409
-8.33827552833017         0.032558526463529414     0.9999999999999999       0.9948590719894913       24599.642186859754
-86.47794193597703        -121.78665582145918      0.9999999999999999       0.9948590719894913       5657.752840435882
-148.0043778321191        -108.4185543997858       0.9999999999999999       0.9948590719894912       3850.777023947503
-8.33827552833017         -67.90966893229728       0.9999999999999999       0.9948590719894913       22028.807170244494
-257.64325377931976       -199.48228336342794      1                        0.997405638174966        6991.921017372384
-357.14325377931976       -99.98228336343055       1                        0.4289457254564019       3825.1128853271503
-257.64325377931976       -0.48228336343326983     1                        0.9974056381749661       6651.318497187362
-150.1470086616068        -109.31511417052039      1                        0.9974056381749661       4103.423553511455
-355.24834546527643       99.16803968845254        1                        0.43310133268721607      5537.347707002371
-256.5121371168678        0.43183134004131946      1                        0.996760390750433        6123.708807505458
-149.84106521119827       -107.5655662249402       1                        0.996760390750433        3919.0310608828854
-100.15725395509338       -26.092718684720264      1                        0.996760390750433        4008.9792380585486
-54.910604749965536       31.3789433485316         1                        0.996760390750433        6547.6182812103025
-555.5951749040112        299.6252184199118        0.9999999999999999       0.0025017018378302143    1155.3161464231691
-456.59517490401123       200.62521841991165       0.9999999999999999       0.002501701837830214     3799.9921678235883
-456.59517490401123       398.62521841991173       0.9999999999999999       0.0025017018378302143    1672.1245391366112
-357.0395178465434        100.11831702566529       1                        0.42943569052905345      4413.817353956221
-357.7884165115932        100.5110992023847        1                        0.4282342604113333       3396.6450268812614
-357.59517490401123       101.62521841990905       0.9999999999999999       0.42733672658022154      3869.2985378979447
-457.2884165115932        200.0110992023873        1                        0.0012536042308489983    3521.2767496104652
-457.3681612336091        399.7455774843004        1                        6.774021514263913E-4     1338.1216130888156
-258.59517490401123       200.62521841991176       0.9999999999999999       0.9925017018378302       9145.475402320477
-257.5395178465434        199.618317025668         1                        0.9974550343485692       7553.644660395056
-256.5121371168678        197.9042480368639        1                        0.996760390750433        7294.878910611384
-557.5                    500                      1                        4.19927237478256E-4      815.3332832062382
-556.1836302487586        500                      1                        7.612868786150548E-4     712.2074817444853
-457.18227739347765       400.99864714471903       1                        7.612868786150548E-4     1129.2432181776232
